sex,x,L,M,S
M,0,1,49.8842,0.03795
M,1,1,50.0601,0.03785
M,2,1,50.2359,0.03775
M,3,1,50.4118,0.03764
M,4,1,50.5876,0.03754
M,5,1,50.7635,0.03744
M,6,1,50.9393,0.03734
M,7,1,51.1152,0.03723
M,8,1,51.291,0.03713
M,9,1,51.4669,0.03703
M,10,1,51.6427,0.03693
M,11,1,51.8186,0.03682
M,12,1,51.9944,0.03672
M,13,1,52.1702,0.03662
M,14,1,52.3461,0.03652
M,15,1,52.4978,0.03645
M,16,1,52.6488,0.03639
M,17,1,52.799,0.03633
M,18,1,52.9483,0.03627
M,19,1,53.0967,0.03621
M,20,1,53.2441,0.03615
M,21,1,53.3905,0.03609
M,22,1,53.536,0.03603
M,23,1,53.6805,0.03597
M,24,1,53.8239,0.03592
M,25,1,53.9664,0.03586
M,26,1,54.1079,0.03581
M,27,1,54.2485,0.03575
M,28,1,54.3881,0.0357
M,29,1,54.5268,0.03565
M,30,1,54.6645,0.03559
M,31,1,54.8012,0.03554
M,32,1,54.9368,0.03549
M,33,1,55.0714,0.03544
M,34,1,55.2049,0.03539
M,35,1,55.3374,0.03534
M,36,1,55.4688,0.03529
M,37,1,55.5992,0.03524
M,38,1,55.7285,0.0352
M,39,1,55.8568,0.03515
M,40,1,55.9841,0.0351
M,41,1,56.1104,0.03506
M,42,1,56.2357,0.03501
M,43,1,56.3599,0.03496
M,44,1,56.4833,0.03492
M,45,1,56.6056,0.03488
M,46,1,56.7269,0.03483
M,47,1,56.8472,0.03479
M,48,1,56.9666,0.03475
M,49,1,57.0851,0.0347
M,50,1,57.2026,0.03466
M,51,1,57.3192,0.03462
M,52,1,57.4349,0.03458
M,53,1,57.5497,0.03454
M,54,1,57.6637,0.0345
M,55,1,57.7767,0.03446
M,56,1,57.8889,0.03442
M,57,1,58.0003,0.03438
M,58,1,58.1109,0.03434
M,59,1,58.2207,0.03431
M,60,1,58.3299,0.03427
M,61,1,58.4384,0.03423
M,62,1,58.5463,0.0342
M,63,1,58.6536,0.03416
M,64,1,58.7603,0.03412
M,65,1,58.8664,0.03409
M,66,1,58.9718,0.03405
M,67,1,59.0766,0.03402
M,68,1,59.1808,0.03398
M,69,1,59.2843,0.03395
M,70,1,59.3872,0.03392
M,71,1,59.4894,0.03388
M,72,1,59.591,0.03385
M,73,1,59.692,0.03382
M,74,1,59.7923,0.03379
M,75,1,59.892,0.03375
M,76,1,59.991,0.03372
M,77,1,60.0894,0.03369
M,78,1,60.1872,0.03366
M,79,1,60.2843,0.03363
M,80,1,60.3808,0.0336
M,81,1,60.4767,0.03357
M,82,1,60.5719,0.03354
M,83,1,60.6665,0.03351
M,84,1,60.7605,0.03348
M,85,1,60.8539,0.03345
M,86,1,60.9466,0.03342
M,87,1,61.0388,0.0334
M,88,1,61.1303,0.03337
M,89,1,61.2212,0.03334
M,90,1,61.3115,0.03331
M,91,1,61.4013,0.03329
M,92,1,61.4904,0.03326
M,93,1,61.579,0.03323
M,94,1,61.667,0.03321
M,95,1,61.7543,0.03318
M,96,1,61.8411,0.03316
M,97,1,61.9274,0.03313
M,98,1,62.013,0.03311
M,99,1,62.0981,0.03308
M,100,1,62.1826,0.03306
M,101,1,62.2665,0.03303
M,102,1,62.3499,0.03301
M,103,1,62.4327,0.03298
M,104,1,62.5149,0.03296
M,105,1,62.5966,0.03294
M,106,1,62.6778,0.03291
M,107,1,62.7584,0.03289
M,108,1,62.8384,0.03287
M,109,1,62.918,0.03284
M,110,1,62.9969,0.03282
M,111,1,63.0754,0.0328
M,112,1,63.1533,0.03278
