sex,x,L,M,S
M,0,0.3487,3.3464,0.14602
M,1,0.3127,3.3174,0.14693
M,2,0.3029,3.337,0.14676
M,3,0.2959,3.3627,0.14647
M,4,0.2903,3.3915,0.14611
M,5,0.2855,3.4223,0.14571
M,6,0.2813,3.4545,0.14528
M,7,0.2776,3.4879,0.14483
M,8,0.2742,3.5222,0.14436
M,9,0.2711,3.5576,0.14388
M,10,0.2681,3.5941,0.14339
M,11,0.2654,3.6319,0.1429
M,12,0.2628,3.671,0.14241
M,13,0.2604,3.7113,0.14192
M,14,0.2581,3.7529,0.14142
M,15,0.2558,3.7956,0.14093
M,16,0.2537,3.8389,0.14044
M,17,0.2517,3.8828,0.13996
M,18,0.2497,3.927,0.13948
M,19,0.2478,3.9714,0.139
M,20,0.246,4.0158,0.13853
M,21,0.2442,4.0603,0.13807
M,22,0.2425,4.1046,0.13761
M,23,0.2408,4.1489,0.13715
M,24,0.2392,4.193,0.1367
M,25,0.2376,4.2369,0.13626
M,26,0.2361,4.2806,0.13582
M,27,0.2346,4.324,0.13539
M,28,0.2331,4.3671,0.13497
M,29,0.2317,4.41,0.13455
M,30,0.2303,4.4525,0.13413
M,31,0.229,4.4946,0.13372
M,32,0.2276,4.5363,0.13332
M,33,0.2263,4.5776,0.13292
M,34,0.225,4.6185,0.13253
M,35,0.2237,4.659,0.13215
M,36,0.2225,4.699,0.13177
M,37,0.2213,4.7386,0.13139
M,38,0.2201,4.7778,0.13102
M,39,0.2189,4.8166,0.13066
M,40,0.2178,4.8549,0.1303
M,41,0.2166,4.8928,0.12994
M,42,0.2155,4.9303,0.1296
M,43,0.2144,4.9674,0.12925
M,44,0.2133,5.0041,0.12891
M,45,0.2122,5.0404,0.12858
M,46,0.2112,5.0763,0.12825
M,47,0.2101,5.1118,0.12792
M,48,0.2091,5.1469,0.1276
M,49,0.2081,5.1817,0.12729
M,50,0.2071,5.2161,0.12698
M,51,0.2061,5.2501,0.12667
M,52,0.2052,5.2837,0.12637
M,53,0.2042,5.3171,0.12607
M,54,0.2032,5.35,0.12577
M,55,0.2023,5.3826,0.12548
M,56,0.2014,5.4149,0.1252
M,57,0.2005,5.4468,0.12491
M,58,0.1996,5.4784,0.12463
M,59,0.1987,5.5097,0.12436
M,60,0.1978,5.5407,0.12409
M,61,0.1969,5.5714,0.12382
M,62,0.196,5.6018,0.12356
M,63,0.1952,5.6319,0.1233
M,64,0.1943,5.6617,0.12304
M,65,0.1935,5.6912,0.12279
M,66,0.1926,5.7205,0.12254
M,67,0.1918,5.7494,0.12229
M,68,0.191,5.7781,0.12205
M,69,0.1902,5.8065,0.12181
M,70,0.1894,5.8346,0.12157
M,71,0.1886,5.8625,0.12134
M,72,0.1878,5.8901,0.12111
M,73,0.187,5.9174,0.12088
M,74,0.1863,5.9445,0.12066
M,75,0.1855,5.9713,0.12044
M,76,0.1847,5.9979,0.12022
M,77,0.184,6.0242,0.12001
M,78,0.1832,6.0503,0.1198
M,79,0.1825,6.0762,0.11959
M,80,0.1818,6.1018,0.11939
M,81,0.181,6.1272,0.11918
M,82,0.1803,6.1523,0.11899
M,83,0.1796,6.1772,0.11879
M,84,0.1789,6.2019,0.1186
M,85,0.1782,6.2264,0.11841
M,86,0.1775,6.2507,0.11822
M,87,0.1768,6.2748,0.11803
M,88,0.1761,6.2986,0.11785
M,89,0.1754,6.3223,0.11767
M,90,0.1747,6.3457,0.1175
M,91,0.174,6.369,0.11732
M,92,0.1734,6.3921,0.11715
M,93,0.1727,6.4149,0.11698
M,94,0.172,6.4376,0.11682
M,95,0.1714,6.4601,0.11666
M,96,0.1707,6.4824,0.11649
M,97,0.1701,6.5046,0.11634
M,98,0.1694,6.5265,0.11618
M,99,0.1688,6.5483,0.11603
M,100,0.1682,6.5699,0.11588
M,101,0.1675,6.5914,0.11573
M,102,0.1669,6.6126,0.11558
M,103,0.1663,6.6338,0.11544
M,104,0.1657,6.6547,0.1153
M,105,0.1651,6.6755,0.11516
M,106,0.1644,6.6962,0.11502
M,107,0.1638,6.7166,0.11489
M,108,0.1632,6.737,0.11476
M,109,0.1626,6.7572,0.11463
M,110,0.162,6.7772,0.1145
M,111,0.1614,6.7971,0.11438
M,112,0.1609,6.8168,0.11425
M,113,0.1603,6.8365,0.11413
M,114,0.1597,6.8559,0.11401
M,115,0.1591,6.8753,0.1139
M,116,0.1585,6.8945,0.11378
M,117,0.158,6.9135,0.11367
M,118,0.1574,6.9325,0.11356
M,119,0.1568,6.9513,0.11345
M,120,0.1563,6.9699,0.11334
M,121,0.1557,6.9885,0.11324
M,122,0.1551,7.0069,0.11313
M,123,0.1546,7.0252,0.11303
M,124,0.154,7.0434,0.11293
M,125,0.1535,7.0615,0.11283
M,126,0.1529,7.0794,0.11274
M,127,0.1524,7.0972,0.11265
M,128,0.1519,7.1149,0.11255
M,129,0.1513,7.1325,0.11246
M,130,0.1508,7.15,0.11237
M,131,0.1502,7.1674,0.11229
M,132,0.1497,7.1846,0.1122
M,133,0.1492,7.2018,0.11212
M,134,0.1487,7.2188,0.11204
M,135,0.1481,7.2357,0.11196
M,136,0.1476,7.2525,0.11188
M,137,0.1471,7.2692,0.1118
M,138,0.1466,7.2858,0.11172
M,139,0.1461,7.3023,0.11165
M,140,0.1456,7.3187,0.11158
M,141,0.1451,7.335,0.1115
M,142,0.1446,7.3512,0.11143
M,143,0.1441,7.3673,0.11137
M,144,0.1436,7.3833,0.1113
M,145,0.1431,7.3992,0.11123
M,146,0.1426,7.415,0.11117
M,147,0.1421,7.4307,0.11111
M,148,0.1416,7.4463,0.11104
M,149,0.1411,7.4618,0.11098
M,150,0.1406,7.4772,0.11092
M,151,0.1401,7.4925,0.11087
M,152,0.1396,7.5077,0.11081
M,153,0.1391,7.5228,0.11075
M,154,0.1387,7.5379,0.1107
M,155,0.1382,7.5528,0.11065
M,156,0.1377,7.5677,0.11059
M,157,0.1372,7.5824,0.11054
M,158,0.1368,7.5971,0.11049
M,159,0.1363,7.6117,0.11044
M,160,0.1358,7.6262,0.1104
M,161,0.1354,7.6406,0.11035
M,162,0.1349,7.655,0.11031
M,163,0.1344,7.6692,0.11026
M,164,0.134,7.6834,0.11022
M,165,0.1335,7.6975,0.11018
M,166,0.1331,7.7115,0.11013
M,167,0.1326,7.7255,0.11009
M,168,0.1322,7.7394,0.11005
M,169,0.1317,7.7532,0.11002
M,170,0.1313,7.7669,0.10998
M,171,0.1308,7.7805,0.10994
M,172,0.1304,7.7941,0.10991
M,173,0.1299,7.8076,0.10987
M,174,0.1295,7.821,0.10984
M,175,0.129,7.8344,0.1098
M,176,0.1286,7.8477,0.10977
M,177,0.1282,7.8609,0.10974
M,178,0.1277,7.8741,0.10971
M,179,0.1273,7.8871,0.10968
M,180,0.1269,7.9002,0.10965
M,181,0.1264,7.9131,0.10962
M,182,0.126,7.926,0.10959
M,183,0.1256,7.9389,0.10957
M,184,0.1251,7.9516,0.10954
M,185,0.1247,7.9643,0.10951
M,186,0.1243,7.977,0.10949
M,187,0.1239,7.9895,0.10946
M,188,0.1235,8.0021,0.10944
M,189,0.123,8.0145,0.10942
M,190,0.1226,8.0269,0.1094
M,191,0.1222,8.0392,0.10937
M,192,0.1218,8.0515,0.10935
M,193,0.1214,8.0637,0.10933
M,194,0.121,8.0759,0.10931
M,195,0.1206,8.0879,0.10929
M,196,0.1201,8.1,0.10927
M,197,0.1197,8.112,0.10925
M,198,0.1193,8.1239,0.10924
M,199,0.1189,8.1357,0.10922
M,200,0.1185,8.1475,0.1092
M,201,0.1181,8.1593,0.10919
M,202,0.1177,8.171,0.10917
M,203,0.1173,8.1826,0.10915
M,204,0.1169,8.1942,0.10914
M,205,0.1165,8.2058,0.10913
M,206,0.1161,8.2173,0.10911
M,207,0.1157,8.2287,0.1091
M,208,0.1153,8.2401,0.10908
M,209,0.1149,8.2514,0.10907
M,210,0.1145,8.2627,0.10906
M,211,0.1142,8.2739,0.10905
M,212,0.1138,8.2851,0.10903
M,213,0.1134,8.2963,0.10902
M,214,0.113,8.3074,0.10901
M,215,0.1126,8.3184,0.109
M,216,0.1122,8.3294,0.10899
M,217,0.1118,8.3404,0.10898
M,218,0.1115,8.3513,0.10897
M,219,0.1111,8.3621,0.10896
M,220,0.1107,8.3729,0.10895
M,221,0.1103,8.3837,0.10894
M,222,0.1099,8.3944,0.10894
M,223,0.1096,8.4051,0.10893
M,224,0.1092,8.4157,0.10892
M,225,0.1088,8.4263,0.10891
M,226,0.1084,8.4369,0.10891
M,227,0.1081,8.4474,0.1089
M,228,0.1077,8.4578,0.10889
M,229,0.1073,8.4683,0.10889
M,230,0.107,8.4787,0.10888
M,231,0.1066,8.489,0.10887
M,232,0.1062,8.4993,0.10887
M,233,0.1059,8.5096,0.10886
M,234,0.1055,8.5198,0.10886
M,235,0.1051,8.53,0.10885
M,236,0.1048,8.5401,0.10885
M,237,0.1044,8.5502,0.10884
M,238,0.104,8.5603,0.10884
M,239,0.1037,8.5704,0.10884
M,240,0.1033,8.5804,0.10883
M,241,0.103,8.5903,0.10883
M,242,0.1026,8.6003,0.10882
M,243,0.1023,8.6102,0.10882
M,244,0.1019,8.62,0.10882
M,245,0.1015,8.6299,0.10882
M,246,0.1012,8.6397,0.10881
M,247,0.1008,8.6494,0.10881
M,248,0.1005,8.6592,0.10881
M,249,0.1001,8.6689,0.10881
M,250,0.0998,8.6785,0.10881
M,251,0.0994,8.6882,0.1088
M,252,0.0991,8.6978,0.1088
M,253,0.0987,8.7073,0.1088
M,254,0.0984,8.7169,0.1088
M,255,0.0981,8.7264,0.1088
M,256,0.0977,8.7359,0.1088
M,257,0.0974,8.7453,0.1088
M,258,0.097,8.7548,0.1088
M,259,0.0967,8.7642,0.1088
M,260,0.0963,8.7735,0.1088
M,261,0.096,8.7829,0.1088
M,262,0.0957,8.7922,0.1088
M,263,0.0953,8.8015,0.1088
M,264,0.095,8.8107,0.1088
M,265,0.0947,8.82,0.1088
M,266,0.0943,8.8292,0.1088
M,267,0.094,8.8384,0.1088
M,268,0.0937,8.8475,0.1088
M,269,0.0933,8.8567,0.1088
M,270,0.093,8.8658,0.1088
M,271,0.0927,8.8748,0.1088
M,272,0.0923,8.8839,0.10881
M,273,0.092,8.8929,0.10881
M,274,0.0917,8.9019,0.10881
M,275,0.0913,8.9109,0.10881
M,276,0.091,8.9199,0.10881
M,277,0.0907,8.9288,0.10882
M,278,0.0904,8.9377,0.10882
M,279,0.09,8.9466,0.10882
M,280,0.0897,8.9555,0.10882
M,281,0.0894,8.9643,0.10882
M,282,0.0891,8.9731,0.10883
M,283,0.0887,8.9819,0.10883
M,284,0.0884,8.9907,0.10883
M,285,0.0881,8.9995,0.10884
M,286,0.0878,9.0082,0.10884
M,287,0.0875,9.0169,0.10884
M,288,0.0871,9.0256,0.10884
M,289,0.0868,9.0342,0.10885
M,290,0.0865,9.0429,0.10885
M,291,0.0862,9.0515,0.10885
M,292,0.0859,9.0601,0.10886
M,293,0.0856,9.0687,0.10886
M,294,0.0852,9.0772,0.10887
M,295,0.0849,9.0858,0.10887
M,296,0.0846,9.0943,0.10887
M,297,0.0843,9.1028,0.10888
M,298,0.084,9.1113,0.10888
M,299,0.0837,9.1198,0.10888
M,300,0.0834,9.1282,0.10889
M,301,0.0831,9.1366,0.10889
M,302,0.0827,9.145,0.1089
M,303,0.0824,9.1534,0.1089
M,304,0.0821,9.1618,0.1089
M,305,0.0818,9.1701,0.10891
M,306,0.0815,9.1785,0.10891
M,307,0.0812,9.1868,0.10892
M,308,0.0809,9.1951,0.10892
M,309,0.0806,9.2034,0.10893
M,310,0.0803,9.2117,0.10893
M,311,0.08,9.2199,0.10894
M,312,0.0797,9.2282,0.10894
M,313,0.0794,9.2364,0.10894
M,314,0.0791,9.2446,0.10895
M,315,0.0788,9.2528,0.10895
M,316,0.0785,9.261,0.10896
M,317,0.0782,9.2691,0.10896
M,318,0.0779,9.2773,0.10897
M,319,0.0776,9.2854,0.10897
M,320,0.0773,9.2935,0.10898
M,321,0.077,9.3016,0.10898
M,322,0.0767,9.3097,0.10899
M,323,0.0764,9.3178,0.10899
M,324,0.0761,9.3258,0.109
M,325,0.0758,9.3339,0.10901
M,326,0.0755,9.3419,0.10901
M,327,0.0752,9.3499,0.10902
M,328,0.0749,9.3579,0.10902
M,329,0.0746,9.3659,0.10903
M,330,0.0744,9.3739,0.10903
M,331,0.0741,9.3819,0.10904
M,332,0.0738,9.3898,0.10904
M,333,0.0735,9.3978,0.10905
M,334,0.0732,9.4057,0.10905
M,335,0.0729,9.4136,0.10906
M,336,0.0726,9.4215,0.10907
M,337,0.0723,9.4294,0.10907
M,338,0.072,9.4373,0.10908
M,339,0.0718,9.4452,0.10908
M,340,0.0715,9.453,0.10909
M,341,0.0712,9.4609,0.1091
M,342,0.0709,9.4687,0.1091
M,343,0.0706,9.4765,0.10911
M,344,0.0703,9.4844,0.10911
M,345,0.0701,9.4922,0.10912
M,346,0.0698,9.4999,0.10913
M,347,0.0695,9.5077,0.10913
M,348,0.0692,9.5155,0.10914
M,349,0.0689,9.5232,0.10915
M,350,0.0686,9.531,0.10915
M,351,0.0684,9.5387,0.10916
M,352,0.0681,9.5464,0.10916
M,353,0.0678,9.5542,0.10917
M,354,0.0675,9.5619,0.10918
M,355,0.0672,9.5696,0.10918
M,356,0.067,9.5772,0.10919
M,357,0.0667,9.5849,0.1092
M,358,0.0664,9.5926,0.1092
M,359,0.0661,9.6002,0.10921
M,360,0.0659,9.6079,0.10922
M,361,0.0656,9.6155,0.10922
M,362,0.0653,9.6231,0.10923
M,363,0.065,9.6308,0.10924
M,364,0.0648,9.6384,0.10925
M,365,0.0645,9.646,0.10925
M,366,0.0642,9.6535,0.10926
M,367,0.064,9.6611,0.10927
M,368,0.0637,9.6687,0.10927
M,369,0.0634,9.6763,0.10928
M,370,0.0631,9.6838,0.10929
M,371,0.0629,9.6914,0.1093
M,372,0.0626,9.6989,0.1093
M,373,0.0623,9.7064,0.10931
M,374,0.0621,9.7139,0.10932
M,375,0.0618,9.7214,0.10933
M,376,0.0615,9.7289,0.10933
M,377,0.0613,9.7364,0.10934
M,378,0.061,9.7439,0.10935
M,379,0.0607,9.7514,0.10936
M,380,0.0605,9.7588,0.10936
M,381,0.0602,9.7663,0.10937
M,382,0.0599,9.7738,0.10938
M,383,0.0597,9.7812,0.10939
M,384,0.0594,9.7886,0.10939
M,385,0.0591,9.796,0.1094
M,386,0.0589,9.8035,0.10941
M,387,0.0586,9.8109,0.10942
M,388,0.0583,9.8183,0.10943
M,389,0.0581,9.8257,0.10943
M,390,0.0578,9.833,0.10944
M,391,0.0576,9.8404,0.10945
M,392,0.0573,9.8478,0.10946
M,393,0.057,9.8551,0.10947
M,394,0.0568,9.8625,0.10948
M,395,0.0565,9.8699,0.10948
M,396,0.0563,9.8772,0.10949
M,397,0.056,9.8845,0.1095
M,398,0.0557,9.8918,0.10951
M,399,0.0555,9.8992,0.10952
M,400,0.0552,9.9065,0.10953
M,401,0.055,9.9138,0.10954
M,402,0.0547,9.9211,0.10954
M,403,0.0545,9.9284,0.10955
M,404,0.0542,9.9357,0.10956
M,405,0.054,9.9429,0.10957
M,406,0.0537,9.9502,0.10958
M,407,0.0534,9.9575,0.10959
M,408,0.0532,9.9647,0.1096
M,409,0.0529,9.972,0.10961
M,410,0.0527,9.9792,0.10961
M,411,0.0524,9.9865,0.10962
M,412,0.0522,9.9937,0.10963
M,413,0.0519,10.0009,0.10964
M,414,0.0517,10.0082,0.10965
M,415,0.0514,10.0154,0.10966
M,416,0.0512,10.0226,0.10967
M,417,0.0509,10.0298,0.10968
M,418,0.0507,10.037,0.10969
M,419,0.0504,10.0442,0.1097
M,420,0.0502,10.0514,0.10971
M,421,0.0499,10.0586,0.10971
M,422,0.0497,10.0657,0.10972
M,423,0.0494,10.0729,0.10973
M,424,0.0492,10.0801,0.10974
M,425,0.0489,10.0872,0.10975
M,426,0.0487,10.0944,0.10976
M,427,0.0484,10.1015,0.10977
M,428,0.0482,10.1087,0.10978
M,429,0.0479,10.1158,0.10979
M,430,0.0477,10.123,0.1098
M,431,0.0475,10.1301,0.10981
M,432,0.0472,10.1372,0.10982
M,433,0.047,10.1443,0.10983
M,434,0.0467,10.1515,0.10984
M,435,0.0465,10.1586,0.10985
M,436,0.0462,10.1657,0.10986
M,437,0.046,10.1728,0.10987
M,438,0.0458,10.1799,0.10988
M,439,0.0455,10.187,0.10989
M,440,0.0453,10.1941,0.1099
M,441,0.045,10.2011,0.10991
M,442,0.0448,10.2082,0.10992
M,443,0.0445,10.2153,0.10993
M,444,0.0443,10.2224,0.10994
M,445,0.0441,10.2294,0.10995
M,446,0.0438,10.2365,0.10996
M,447,0.0436,10.2435,0.10997
M,448,0.0433,10.2506,0.10998
M,449,0.0431,10.2576,0.10999
M,450,0.0429,10.2647,0.11
M,451,0.0426,10.2717,0.11001
M,452,0.0424,10.2788,0.11002
M,453,0.0422,10.2858,0.11003
M,454,0.0419,10.2928,0.11005
M,455,0.0417,10.2998,0.11006
M,456,0.0414,10.3069,0.11007
M,457,0.0412,10.3139,0.11008
M,458,0.041,10.3209,0.11009
