sex,x,L,M,S
M,65.0,-0.3521,7.4327,0.08217
M,65.1,-0.3521,7.4563,0.08216
M,65.2,-0.3521,7.4799,0.08216
M,65.3,-0.3521,7.5034,0.08215
M,65.4,-0.3521,7.5269,0.08214
M,65.5,-0.3521,7.5504,0.08214
M,65.6,-0.3521,7.5738,0.08214
M,65.7,-0.3521,7.5973,0.08213
M,65.8,-0.3521,7.6206,0.08213
M,65.9,-0.3521,7.644,0.08213
M,66.0,-0.3521,7.6673,0.08212
M,66.1,-0.3521,7.6906,0.08212
M,66.2,-0.3521,7.7138,0.08212
M,66.3,-0.3521,7.737,0.08212
M,66.4,-0.3521,7.7602,0.08212
M,66.5,-0.3521,7.7834,0.08212
M,66.6,-0.3521,7.8065,0.08212
M,66.7,-0.3521,7.8296,0.08212
M,66.8,-0.3521,7.8526,0.08212
M,66.9,-0.3521,7.8757,0.08212
M,67.0,-0.3521,7.8986,0.08213
M,67.1,-0.3521,7.9216,0.08213
M,67.2,-0.3521,7.9445,0.08213
M,67.3,-0.3521,7.9674,0.08214
M,67.4,-0.3521,7.9903,0.08214
M,67.5,-0.3521,8.0132,0.08214
M,67.6,-0.3521,8.036,0.08215
M,67.7,-0.3521,8.0588,0.08215
M,67.8,-0.3521,8.0816,0.08216
M,67.9,-0.3521,8.1044,0.08217
M,68.0,-0.3521,8.1272,0.08217
M,68.1,-0.3521,8.15,0.08218
M,68.2,-0.3521,8.1727,0.08219
M,68.3,-0.3521,8.1955,0.08219
M,68.4,-0.3521,8.2183,0.0822
M,68.5,-0.3521,8.241,0.08221
M,68.6,-0.3521,8.2638,0.08222
M,68.7,-0.3521,8.2865,0.08223
M,68.8,-0.3521,8.3092,0.08224
M,68.9,-0.3521,8.332,0.08225
M,69.0,-0.3521,8.3547,0.08226
M,69.1,-0.3521,8.3774,0.08227
M,69.2,-0.3521,8.4001,0.08228
M,69.3,-0.3521,8.4227,0.08229
M,69.4,-0.3521,8.4454,0.0823
M,69.5,-0.3521,8.468,0.08231
M,69.6,-0.3521,8.4906,0.08232
M,69.7,-0.3521,8.5132,0.08233
M,69.8,-0.3521,8.5358,0.08235
M,69.9,-0.3521,8.5583,0.08236
M,70.0,-0.3521,8.5808,0.08237
M,70.1,-0.3521,8.6032,0.08238
M,70.2,-0.3521,8.6257,0.0824
M,70.3,-0.3521,8.648,0.08241
M,70.4,-0.3521,8.6704,0.08242
M,70.5,-0.3521,8.6927,0.08243
M,70.6,-0.3521,8.715,0.08245
M,70.7,-0.3521,8.7372,0.08246
